Time - Voltage	Amplitude - Voltage
0.604492	-3.57861
0.60498	-3.67873
0.605469	-2.52247
0.605957	-0.511125
0.606445	1.66599
0.606934	3.26182
0.607422	3.72054
0.60791	2.88582
0.608398	1.05059
0.608887	-1.15783
0.609375	-2.98166
0.609863	-3.78847
0.610352	-3.29735
0.61084	-1.68359
0.611328	0.497334
0.611816	2.49928
0.612305	3.62973
0.612793	3.49647
0.613281	2.14979
0.61377	0.0553295
0.614258	-2.07206
0.614746	-3.49879
0.615234	-3.72723
0.615723	-2.68186
0.616211	-0.72673
0.616699	1.46814
0.617187	3.14997
0.617676	3.73354
0.618164	3.01951
0.618652	1.25814
0.619141	-0.946849
0.619629	-2.84043
0.620117	-3.76608
0.620605	-3.40083
0.621094	-1.87728
0.621582	0.279835
0.62207	2.33223
0.622559	3.5718
0.623047	3.56703
0.623535	2.32423
0.624023	0.273684
0.624512	-1.88467
0.625	-3.40721
0.625488	-3.7636
0.625977	-2.83291
0.626465	-0.940638
0.626953	1.26484
0.627441	3.02702
0.62793	3.73419
0.628418	3.14273
0.628906	1.46137
0.629395	-0.733233
0.629883	-2.68955
0.630371	-3.73037
0.630859	-3.49293
0.631348	-2.06479
0.631836	0.0610288
0.632324	2.15789
0.632812	3.50189
0.633301	3.62619
0.633789	2.491
0.634277	0.491755
0.634766	-1.69034
0.635254	-3.3038
0.635742	-3.78722
0.63623	-2.97447
0.636719	-1.15162
0.637207	1.05674
0.637695	2.89387
0.638184	3.72207
0.638672	3.25511
0.63916	1.65952
0.639648	-0.517355
0.640137	-2.53009
0.640625	-3.68273
0.641113	-3.57381
0.641602	-2.24536
0.64209	-0.157958
0.642578	1.97676
0.643066	3.42009
0.643555	3.67204
0.644043	2.64922
0.644531	0.706623
0.64502	-1.49089
0.645508	-3.1896
0.645996	-3.79754
0.646484	-3.10614
0.646973	-1.35798
0.647461	0.846099
0.647949	2.75066
0.648437	3.69698
0.648926	3.35692
0.649414	1.85187
0.649902	-0.299145
0.650391	-2.36133
0.650879	-3.62199
0.651367	-3.6424
0.651855	-2.41852
0.652344	-0.375763
0.652832	1.78684
0.65332	3.32632
0.653809	3.70647
0.654297	2.79831
0.654785	0.919639
0.655273	-1.28674
0.655762	-3.06548
0.65625	-3.79646
0.656738	-3.22731
0.657227	-1.56076
0.657715	0.631274
0.658203	2.59836
0.658691	3.65959
0.65918	3.4468
0.659668	2.03824
0.660156	-0.080727
0.660645	-2.18536
0.661133	-3.55008
0.661621	-3.69886
0.662109	-2.58406
0.662598	-0.592861
0.663086	1.59233
0.663574	3.22128
0.664062	3.72741
0.664551	2.93798
0.665039	1.12957
0.665527	-1.07825
0.666016	-2.92963
0.666504	-3.78136
0.666992	-3.33798
0.66748	-1.75717
0.667969	0.415155
0.668457	2.43715
0.668945	3.60966
0.669434	3.52504
0.669922	2.21688
0.67041	0.138094
0.670898	-2.0019
0.671387	-3.46568
0.671875	-3.74298
0.672363	-2.74049
0.672852	-0.808206
0.67334	1.39158
0.673828	3.10482
0.674316	3.73561
0.674805	3.06748
0.675293	1.33534
0.675781	-0.865607
0.67627	-2.78419
0.676758	-3.75423
0.677246	-3.4372
0.677734	-1.94901
0.678223	0.197047
0.678711	2.26736
0.679199	3.54701
0.679687	3.59108
0.680176	2.38834
0.680664	0.355806
0.681152	-1.81177
0.681641	-3.36905
0.682129	-3.77414
0.682617	-2.88756
0.683105	-1.0207
0.683594	1.18698
0.684082	2.97739
0.68457	3.73064
0.685059	3.18705
0.685547	1.5368
0.686035	-0.6514
0.686523	-2.63005
0.687012	-3.71388
0.6875	-3.52524
0.687988	-2.13393
0.688477	-0.0218676
0.688965	2.08937
0.689453	3.47195
0.689941	3.64468
0.69043	2.55161
0.690918	0.572682
0.691406	-1.61562
0.691895	-3.26233
0.692383	-3.79278
0.692871	-3.02492
0.693359	-1.23025
0.693848	0.977336
0.694336	2.84066
0.694824	3.71411
0.695312	3.29496
0.695801	1.73305
0.696289	-0.434199
0.696777	-2.467
0.697266	-3.66086
0.697754	-3.60091
0.698242	-2.31112
0.69873	-0.24011
0.699219	1.9051
0.699707	3.38567
0.700195	3.68667
0.700684	2.70685
0.701172	0.787518
0.70166	-1.41413
0.702148	-3.14336
0.702637	-3.79866
0.703125	-3.15318
0.703613	-1.43518
0.704102	0.764902
0.70459	2.69341
0.705078	3.68404
0.705566	3.39192
0.706055	1.92277
0.706543	-0.216032
0.707031	-2.29569
0.70752	-3.59662
0.708008	-3.66516
0.708496	-2.48216
0.708984	-0.458273
0.709473	1.71502
0.709961	3.28728
0.710449	3.71562
0.710937	2.85216
0.711426	0.999921
0.711914	-1.20778
0.712402	-3.01473
0.712891	-3.79179
0.713379	-3.27001
0.713867	-1.63581
0.714355	0.549661
0.714844	2.53868
0.715332	3.64212
0.71582	3.47781
0.716309	2.10694
0.716797	0.00249464
0.717285	-2.11653
0.717773	-3.51979
0.718262	-3.71684
0.71875	-2.64409
0.719238	-0.674763
0.719727	1.51672
0.720215	3.17788
0.720703	3.73193
0.721191	2.98837
0.72168	1.20765
0.722168	-0.999016
0.722656	-2.87581
0.723145	-3.77287
0.723633	-3.37709
0.724121	-1.83094
0.724609	0.332169
0.725098	2.37343
0.725586	3.58703
0.726074	3.55043
0.726562	2.28305
0.727051	0.221059
0.727539	-1.93052
0.728027	-3.43048
0.728516	-3.75605
0.729004	-2.79716
0.729492	-0.889285
0.72998	1.31502
0.730469	3.058
0.730957	3.73566
0.731445	3.11413
0.731934	1.41237
0.732422	-0.784978
0.73291	-2.72698
0.733398	-3.74009
0.733887	-3.47199
0.734375	-2.01877
0.734863	0.114083
0.735352	2.20095
0.73584	3.51996
0.736328	3.61317
0.736816	2.45141
0.737305	0.43859
0.737793	-1.73826
0.738281	-3.33012
0.73877	-3.7834
0.739258	-2.9414
0.739746	-1.10044
0.740234	1.1078
0.740723	2.9272
0.741211	3.72634
0.741699	3.22885
0.742187	1.61175
0.742676	-0.56943
0.743164	-2.56944
0.743652	-3.69573
0.744141	-3.55533
0.744629	-2.20232
0.745117	-0.104284
0.745605	2.02051
0.746094	3.44127
0.746582	3.66199
0.74707	2.61159
0.747559	0.654953
0.748047	-1.53969
0.748535	-3.21827
0.749023	-3.79664
0.749512	-3.07516
0.75	-1.30833
0.750488	0.897472
0.750977	2.78691
0.751465	3.70488
0.751953	3.33314
0.752441	1.80588
0.75293	-0.35247
0.753418	-2.40251
0.753906	-3.63859
0.754395	-3.62708
0.754883	-2.37712
0.755371	-0.323112
0.755859	1.83341
0.756348	3.3502
0.756836	3.69953
0.757324	2.76282
0.757812	0.868424
0.758301	-1.33695
0.758789	-3.09603
0.759277	-3.79833
0.759766	-3.19893
0.760254	-1.51182
0.760742	0.683456
0.76123	2.6362
0.761719	3.67003
0.762207	3.42569
0.762695	1.99382
0.763184	-0.133208
0.763672	-2.2288
0.76416	-3.56835
0.764648	-3.68635
0.765137	-2.5446
0.765625	-0.540391
0.766113	1.6401
0.766602	3.24776
0.76709	3.72311
0.767578	2.90619
0.768066	1.07957
0.768555	-1.12923
0.769043	-2.96304
0.769531	-3.78613
0.77002	-3.31203
0.770508	-1.71056
0.770996	0.467814
0.771484	2.4765
0.771973	3.62269
0.772461	3.50699
0.772949	2.17415
0.773437	0.0853331
0.773926	-2.04693
0.774414	-3.48705
0.774902	-3.73337
0.775391	-2.70279
0.775879	-0.757468
0.776367	1.44025
0.776855	3.13391
0.777344	3.73444
0.777832	3.03697
0.77832	1.2859
0.778809	-0.917835
0.779297	-2.82044
0.779785	-3.76162
0.780273	-3.41416
0.780762	-1.90289
0.78125	0.249775
0.781738	2.30893
0.782227	3.56314
0.782715	3.57619
0.783203	2.34781
0.783691	0.303826
0.78418	-1.85888
0.784668	-3.39401
0.785156	-3.76731
0.785645	-2.85309
0.786133	-0.969475
0.786621	1.23664
0.787109	3.00935
0.787598	3.73351
0.788086	3.15871
0.788574	1.48861
0.789062	-0.703403
0.789551	-2.66843
0.790039	-3.72424
0.790527	-3.50522
0.791016	-2.08975
0.791504	0.0309044
0.791992	2.13371
0.79248	3.49043
0.792969	3.63232
0.793457	2.51353
0.793945	0.520516
0.794434	-1.66348
0.794922	-3.2892
0.79541	-3.78917
0.795898	-2.99314
0.796387	-1.17967
0.796875	1.02869
0.797363	2.87541
0.797852	3.71966
0.79834	3.27018
0.798828	1.68614
0.799316	-0.487066
0.799805	-2.50731
0.800293	-3.6749
0.800781	-3.58435
0.80127	-2.27027
0.801758	-0.187091
0.802246	1.95039
0.802734	3.40781
0.803223	3.67778
0.803711	2.67025
0.804199	0.73579
0.804687	-1.46361
0.805176	-3.1735
0.805664	-3.7986
0.806152	-3.12342
0.806641	-1.38634
0.807129	0.816567
0.807617	2.73052
0.808105	3.69281
0.808594	3.3695
0.809082	1.87746
0.80957	-0.269183
0.810059	-2.33793
0.810547	-3.61317
0.811035	-3.65094
0.811523	-2.44124
0.812012	-0.405125
0.8125	1.76066
0.812988	3.31259
0.813477	3.70988
0.813965	2.81807
0.814453	0.948972
0.814941	-1.2588
0.81543	-3.04675
0.815918	-3.79465
0.816406	-3.24288
0.816895	-1.58785
0.817383	0.602474
0.817871	2.57778
0.818359	3.65327
0.818848	3.45811
0.819336	2.06272
0.819824	-0.0506954
0.820312	-2.16062
0.820801	-3.53912
0.821289	-3.70564
0.821777	-2.6058
0.822266	-0.62286
0.822754	1.56488
0.823242	3.20542
0.82373	3.72912
0.824219	2.95594
0.824707	1.15779
0.825195	-1.0495
0.825684	-2.91036
0.826172	-3.7781
0.82666	-3.35216
0.827148	-1.78415
0.827637	0.385199
0.828125	2.41417
0.828613	3.60172
0.829102	3.5346
0.82959	2.24104
0.830078	0.168033
0.830566	-1.97607
0.831055	-3.45306
0.831543	-3.74728
0.832031	-2.76067
0.83252	-0.837237
0.833008	1.36425
0.833496	3.08834
0.833984	3.7356
0.834473	3.08338
0.834961	1.36372
0.835449	-0.837207
0.835937	-2.76393
0.836426	-3.74921
0.836914	-3.44996
0.837402	-1.97462
0.837891	0.167342
0.838379	2.24337
0.838867	3.53743
0.839355	3.59918
0.839844	2.41119
0.840332	0.385458
0.84082	-1.78536
0.841309	-3.35557
0.841797	-3.77771
0.842285	-2.90705
0.842773	-1.04852
0.843262	1.15811
0.84375	2.95993
0.844238	3.72988
0.844727	3.202
0.845215	1.56404
0.845703	-0.621994
0.846191	-2.60821
0.84668	-3.70756
0.847168	-3.53609
0.847656	-2.15868
0.848145	-0.0509382
0.848633	2.06551
0.849121	3.46125
0.849609	3.6516
0.850098	2.57369
0.850586	0.602531
0.851074	-1.58925
0.851562	-3.24644
0.852051	-3.79439
0.852539	-3.04356
0.853027	-1.25831
0.853516	0.9488
0.854004	2.82129
0.854492	3.71108
0.85498	3.30883
0.855469	1.75905
0.855957	-0.405189
0.856445	-2.44435
0.856934	-3.65344
0.857422	-3.61072
0.85791	-2.33552
0.858398	-0.270093
0.858887	1.87901
0.859375	3.37427
0.859863	3.69132
0.860352	2.72698
0.86084	0.816889
0.861328	-1.38647
0.861816	-3.1266
0.862305	-3.79878
0.862793	-3.16956
0.863281	-1.46248
0.86377	0.735602
0.864258	2.67386
0.864746	3.67937
0.865234	3.40445
0.865723	1.94871
0.866211	-0.186502
0.866699	-2.27163
0.867187	-3.5864
0.867676	-3.67319
0.868164	-2.50447
0.868652	-0.487698
0.869141	1.68748
0.869629	3.27344
0.870117	3.71866
0.870605	2.87167
0.871094	1.02839
0.871582	-1.17969
0.87207	-2.99614
0.872559	-3.79004
0.873047	-3.28608
0.873535	-1.66291
0.874023	0.52036
0.874512	2.51609
0.875	3.63526
0.875488	3.4882
0.875977	2.13148
0.876465	0.0319326
0.876953	-2.09169
0.877441	-3.50812
0.87793	-3.7231
0.878418	-2.6656
0.878906	-0.703989
0.879395	1.48927
0.879883	3.16271
0.880371	3.73358
0.880859	3.0058
0.881348	1.23627
0.881836	-0.969406
0.882324	-2.85604
0.882812	-3.76893
0.883301	-3.39039
0.883789	-1.85686
0.884277	0.30228
0.884766	2.35041
0.885254	3.57903
0.885742	3.56025
0.88623	2.30658
0.886719	0.25061
0.887207	-1.90494
0.887695	-3.41764
0.888184	-3.76031
0.888672	-2.81777
0.88916	-0.917934
0.889648	1.28624
0.890137	3.04007
0.890625	3.73511
0.891113	3.13003
0.891602	1.43983
0.89209	-0.756436
0.892578	-2.70583
0.893066	-3.73485
0.893555	-3.4842
0.894043	-2.04492
0.894531	0.0844672
0.89502	2.17685
0.895508	3.51012
0.895996	3.62047
0.896484	2.47347
0.896973	0.468166
0.897461	-1.71143
0.897949	-3.31563
0.898437	-3.78531
0.898926	-2.95963
0.899414	-1.12904
0.899902	1.07968
0.900391	2.90857
0.900879	3.72482
0.901367	3.24422
0.901855	1.63849
0.902344	-0.539963
0.902832	-2.54735
0.90332	-3.68823
0.903809	-3.56601
0.904297	-2.22677
0.904785	-0.134348
0.905273	1.99541
0.905762	3.42906
0.90625	3.66785
0.906738	2.63322
0.907227	0.683575
0.907715	-1.51274
0.908203	-3.20259
0.908691	-3.79712
0.90918	-3.09371
0.909668	-1.33698
0.910156	0.868529
0.910645	2.7662
0.911133	3.70054
0.911621	3.34614
0.912109	1.8313
0.912598	-0.322473
0.913086	-2.37947
0.913574	-3.62927
0.914062	-3.63555
0.914551	-2.40019
0.915039	-0.352934
0.915527	1.80756
0.916016	3.33683
0.916504	3.7032
0.916992	2.78276
0.91748	0.897747
0.917969	-1.30797
0.918457	-3.07869
0.918945	-3.79671
0.919434	-3.21486
0.919922	-1.53912
0.92041	0.654273
0.920898	2.61502
0.921387	3.66386
0.921875	3.43761
0.922363	2.0183
0.922852	-0.103973
0.92334	-2.20438
0.923828	-3.55836
0.924316	-3.69375
0.924805	-2.56654
0.925293	-0.570198
0.925781	1.6136
0.92627	3.2334
0.926758	3.72546
0.927246	2.9236
0.927734	1.10732
0.928223	-1.10064
0.928711	-2.94449
0.929199	-3.7837
0.929687	-3.32663
0.930176	-1.73681
0.930664	0.438342
0.931152	2.45472
0.931641	3.61523
0.932129	3.51725
0.932617	2.1986
0.933105	0.114926
0.933594	-2.02156
0.934082	-3.47564
0.93457	-3.73941
0.935059	-2.72375
0.935547	-0.78569
0.936035	1.41368
0.936523	3.11792
0.937012	3.73542
0.9375	3.0542
0.937988	1.31375
0.938477	-0.889201
0.938965	-2.801
0.939453	-3.75797
